condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pinky_thumb,8,201,1,109,84.71,64.08,0.09,1.01,109,2839,Correct
incongruent_pinky_thumb,8,202,2,112,56.69,68.03,0.06,1.07,112,1992,Correct
incongruent_pinky_thumb,8,203,1,109,55.82,36.89,0.06,0.58,99,2276,Incorrect
incongruent_pinky_thumb,8,204,2,113,66.94,45.78,0.07,0.72,112,1083,Incorrect
incongruent_pinky_thumb,8,205,1,109,44.41,36.94,0.05,0.58,109,1455,Correct
incongruent_pinky_thumb,8,206,1,109,50.43,26.13,0.06,0.41,109,848,Correct
incongruent_pinky_thumb,8,207,2,112,60.09,75.45,0.07,1.19,112,1952,Correct
incongruent_pinky_thumb,8,208,1,109,52.59,26.96,0.06,0.42,99,1267,Incorrect
incongruent_pinky_thumb,8,209,1,99,59.25,75.44,0.07,1.19,99,2095,Correct
incongruent_pinky_thumb,8,210,1,99,26.88,48.88,0.03,0.77,109,1190,Incorrect
incongruent_pinky_thumb,8,211,2,113,84.39,69.07,0.09,1.08,113,614,Correct
incongruent_pinky_thumb,8,212,2,113,84.76,67.67,0.09,1.06,112,1139,Incorrect
incongruent_pinky_thumb,8,213,1,109,58.42,37.07,0.07,0.58,99,969,Incorrect
incongruent_pinky_thumb,8,214,2,112,62.8,81.17,0.07,1.28,112,907,Correct
incongruent_pinky_thumb,8,215,2,113,37.9,20.47,0.04,0.32,113,1429,Correct
incongruent_pinky_thumb,8,216,2,112,65.99,85.41,0.07,1.34,112,1197,Correct
incongruent_pinky_thumb,8,217,1,99,47.96,73.25,0.05,1.15,99,1426,Correct
incongruent_pinky_thumb,8,218,2,112,17.85,37.18,0.02,0.58,113,2730,Incorrect
incongruent_pinky_thumb,8,219,2,112,30.63,59.95,0.03,0.94,112,1056,Correct
incongruent_pinky_thumb,8,220,2,113,72.86,56.68,0.08,0.89,113,2528,Correct
incongruent_pinky_thumb,8,221,1,109,73.5,40.71,0.08,0.64,109,3217,Correct
incongruent_pinky_thumb,8,222,1,109,45.78,19.32,0.05,0.3,109,2765,Correct
incongruent_pinky_thumb,8,223,2,113,79.94,54.01,0.09,0.85,113,1547,Correct
incongruent_pinky_thumb,8,224,1,109,68.66,49.88,0.08,0.78,109,1557,Correct
incongruent_pinky_thumb,8,225,2,113,79.57,59.44,0.09,0.93,113,2709,Correct
