condition,subject,trial,su,rotation,rt,mt,ep
interleaved,2,232,26.78,0.26,300,67,-1.69
interleaved,2,233,0.0,0.26,367,74,-1.6
interleaved,2,234,26.78,0.26,283,74,-1.56
interleaved,2,235,0.0,0.26,325,75,-1.61
interleaved,2,236,0.0,0.26,300,67,-1.68
interleaved,2,237,26.78,0.26,300,75,-1.58
interleaved,2,238,26.78,0.26,276,66,-1.66
interleaved,2,239,26.78,0.26,333,67,-1.69
interleaved,2,240,26.78,0.26,283,75,-1.55
interleaved,2,241,26.78,0.26,283,66,-1.59
interleaved,2,242,26.78,0.26,275,66,-1.63
interleaved,2,243,0.0,0.26,300,75,-1.64
interleaved,2,244,26.78,0.26,275,66,-1.67
interleaved,2,245,26.78,0.26,283,69,-1.63
interleaved,2,246,0.0,0.26,317,66,-1.64
interleaved,2,247,26.78,0.26,367,66,-1.64
interleaved,2,248,0.0,0.26,334,81,-1.68
interleaved,2,249,0.0,0.26,349,67,-1.57
interleaved,2,250,0.0,0.26,350,100,-1.71
interleaved,2,251,26.78,0.26,333,75,-1.57
interleaved,2,252,0.0,0.26,325,58,-1.66
interleaved,2,253,0.0,0.26,325,95,-1.64
interleaved,2,254,0.0,0.26,308,50,-1.61
interleaved,2,255,0.0,0.26,375,65,-1.61
interleaved,2,256,0.0,0.26,333,76,-1.68
interleaved,2,257,0.0,0.26,300,58,-1.52
interleaved,2,258,0.0,0.26,292,50,-1.56
interleaved,2,259,26.78,0.26,74,100,-1.61
interleaved,2,260,26.78,0.26,308,80,-1.73
interleaved,2,261,26.78,0.26,275,75,-1.55
interleaved,2,262,26.78,0.26,342,75,-1.68
interleaved,2,263,0.0,0.26,334,57,-1.61
interleaved,2,264,26.78,0.26,316,67,-1.61
interleaved,2,265,0.0,0.26,342,67,-1.57
interleaved,2,266,0.0,0.26,302,75,-1.64
interleaved,2,267,26.78,0.26,292,84,-1.62
interleaved,2,268,0.0,0.26,266,67,-1.52
interleaved,2,269,0.0,0.26,291,75,-1.72
interleaved,2,270,26.78,0.26,300,67,-1.63
interleaved,2,271,0.0,0.26,266,77,-1.65
interleaved,2,272,0.0,0.26,298,84,-1.6
interleaved,2,273,0.0,0.26,308,59,-1.64
interleaved,2,274,0.0,0.26,309,83,-1.56
interleaved,2,275,0.0,0.26,275,74,-1.67
interleaved,2,276,0.0,0.26,357,76,-1.58
interleaved,2,277,0.0,0.26,308,59,-1.61
interleaved,2,278,26.78,0.26,333,75,-1.64
interleaved,2,279,26.78,0.26,317,66,-1.58
interleaved,2,280,0.0,0.26,317,92,-1.64
interleaved,2,281,0.0,0.26,265,67,-1.54
interleaved,2,282,0.0,0.26,333,66,-1.63
interleaved,2,283,26.78,0.26,301,74,-1.62
interleaved,2,284,26.78,0.26,325,67,-1.62
interleaved,2,285,0.0,0.26,266,75,-1.6
interleaved,2,286,0.0,0.26,284,66,-1.65
interleaved,2,287,0.0,0.26,300,66,-1.58
interleaved,2,288,0.0,0.26,367,58,-1.64
interleaved,2,289,0.0,0.26,266,68,-1.6
interleaved,2,290,0.0,0.26,284,74,-1.64
interleaved,2,291,0.0,0.26,267,66,-1.6
interleaved,2,292,0.0,0.26,274,109,-1.6
interleaved,2,293,26.78,0.26,285,94,-1.64
interleaved,2,294,0.0,0.26,319,74,-1.58
interleaved,2,295,26.78,0.26,309,83,-1.61
interleaved,2,296,0.0,0.26,283,66,-1.64
interleaved,2,297,0.0,0.26,292,75,-1.56
interleaved,2,298,0.0,0.26,300,67,-1.54
interleaved,2,299,26.78,0.26,292,66,-1.67
interleaved,2,300,0.0,0.26,283,75,-1.62
interleaved,2,301,0.0,0.26,300,74,-1.61
interleaved,2,302,0.0,0.26,374,92,-1.46
interleaved,2,303,0.0,0.26,280,75,-1.54
interleaved,2,304,26.78,0.26,359,66,-1.64
interleaved,2,305,26.78,0.26,292,75,-1.64
interleaved,2,306,26.78,0.26,349,59,-1.58
interleaved,2,307,26.78,0.26,283,67,-1.68
interleaved,2,308,26.78,0.26,251,92,-1.63
interleaved,2,309,26.78,0.26,266,65,-1.59
interleaved,2,310,0.0,0.26,316,75,-1.68
interleaved,2,311,26.78,0.26,301,63,-1.62
interleaved,2,312,0.0,0.26,359,58,-1.59
interleaved,2,313,0.0,0.26,258,67,-1.6
interleaved,2,314,26.78,0.26,284,66,-1.61
interleaved,2,315,26.78,0.26,308,75,-1.64
interleaved,2,316,26.78,0.26,267,75,-1.6
interleaved,2,317,26.78,0.26,276,66,-1.61
interleaved,2,318,0.0,0.26,310,65,-1.57
interleaved,2,319,26.78,0.26,283,67,-1.69
interleaved,2,320,26.78,0.26,358,91,-1.53
interleaved,2,321,0.0,0.26,299,67,-1.7
interleaved,2,322,26.78,0.26,325,75,-1.54
interleaved,2,323,26.78,0.26,365,75,-1.59
interleaved,2,324,26.78,0.26,333,84,-1.53
interleaved,2,325,0.0,0.26,334,108,-1.67
interleaved,2,326,0.0,0.26,400,92,-1.58
interleaved,2,327,26.78,0.26,59,116,-1.66
interleaved,2,328,0.0,0.26,345,81,-1.67
interleaved,2,329,0.0,0.26,333,67,-1.59
interleaved,2,330,0.0,0.0,359,67,-1.31
interleaved,2,331,0.0,0.0,359,58,-1.38
interleaved,2,332,26.78,0.0,317,83,-1.41
interleaved,2,333,0.0,0.0,333,75,-1.37
interleaved,2,334,26.78,0.0,324,76,-1.34
interleaved,2,335,0.0,0.0,400,92,-1.4
interleaved,2,336,26.78,0.0,409,82,-1.34
interleaved,2,337,0.0,0.0,309,83,-1.41
interleaved,2,338,0.0,0.0,350,77,-1.45
interleaved,2,339,26.78,0.0,341,76,-1.48
interleaved,2,340,0.0,0.0,358,67,-1.42
interleaved,2,341,0.0,0.0,317,91,-1.44
interleaved,2,342,0.0,0.0,300,76,-1.43
interleaved,2,343,26.78,0.0,299,76,-1.41
interleaved,2,344,0.0,0.0,408,83,-1.41
