,condition,subject,block,level_3,p,nll,bic,model
146,new_learn,12,2,0,45.31492440808656,95.8810720512653,200.97248447450679,nll_uniy_1
147,new_learn,12,2,1,35.30096479102193,95.8810720512653,200.97248447450679,nll_uniy_1
148,new_learn,12,2,0,-0.8567772490184098,41.90165137953842,97.61881331704112,nll_glc_0
149,new_learn,12,2,1,16.259312721680512,41.90165137953842,97.61881331704112,nll_glc_0
150,new_learn,12,2,2,18.83128796805035,41.90165137953842,97.61881331704112,nll_glc_0
151,new_learn,12,2,0,0.9999997958482458,51.86753590798129,117.55058237392686,nll_glc_1
152,new_learn,12,2,1,-49.06301546467298,51.86753590798129,117.55058237392686,nll_glc_1
153,new_learn,12,2,2,28.889061791487975,51.86753590798129,117.55058237392686,nll_glc_1
154,new_learn,12,6,0,45.89248357917943,60.489214424838565,130.1887692216533,nll_unix_0
155,new_learn,12,6,1,37.59069028720309,60.489214424838565,130.1887692216533,nll_unix_0
156,new_learn,12,6,0,49.384323653509284,104.70001953330585,218.61037943858787,nll_unix_1
157,new_learn,12,6,1,37.59295209457488,104.70001953330585,218.61037943858787,nll_unix_1
158,new_learn,12,6,0,44.22154418870984,81.11134555894807,171.43303148987232,nll_uniy_0
159,new_learn,12,6,1,37.5932924937322,81.11134555894807,171.43303148987232,nll_uniy_0
160,new_learn,12,6,0,49.26355852631898,82.3499066294718,173.91015363091978,nll_uniy_1
161,new_learn,12,6,1,37.589707996402595,82.3499066294718,173.91015363091978,nll_uniy_1
162,new_learn,12,6,0,0.9749314386917476,59.922314549499646,133.66013965696357,nll_glc_0
163,new_learn,12,6,1,-55.348001619721934,59.922314549499646,133.66013965696357,nll_glc_0
164,new_learn,12,6,2,37.59203170235102,59.922314549499646,133.66013965696357,nll_glc_0
165,new_learn,12,6,0,-0.9999969403859555,60.511055534846946,134.83762162765817,nll_glc_1
166,new_learn,12,6,1,46.02248261903707,60.511055534846946,134.83762162765817,nll_glc_1
167,new_learn,12,6,2,37.47054740967779,60.511055534846946,134.83762162765817,nll_glc_1
168,new_learn,14,2,0,59.896397979256356,101.86385591634509,212.93805220466635,nll_unix_0
169,new_learn,14,2,1,38.38155439901274,101.86385591634509,212.93805220466635,nll_unix_0
170,new_learn,14,2,0,44.462668270227766,52.54812830382545,114.30659697962709,nll_unix_1
171,new_learn,14,2,1,32.668289397576046,52.54812830382545,114.30659697962709,nll_unix_1
172,new_learn,14,2,0,59.66738030212277,56.281717606456525,121.77377558488924,nll_uniy_0
173,new_learn,14,2,1,36.34896504720083,56.281717606456525,121.77377558488924,nll_uniy_0
174,new_learn,14,2,0,43.194147723078956,93.97337477903639,197.15708993004895,nll_uniy_1
175,new_learn,14,2,1,38.38142728729741,93.97337477903639,197.15708993004895,nll_uniy_1
176,new_learn,14,2,0,-0.7083468312648535,30.369896707123623,74.55530397221152,nll_glc_0
177,new_learn,14,2,1,-4.3162489589531985,30.369896707123623,74.55530397221152,nll_glc_0
178,new_learn,14,2,2,13.757316048282142,30.369896707123623,74.55530397221152,nll_glc_0
179,new_learn,14,2,0,0.9999999867131186,52.555906553889294,118.92732366574286,nll_glc_1
180,new_learn,14,2,1,-44.79813031344609,52.555906553889294,118.92732366574286,nll_glc_1
181,new_learn,14,2,2,32.85318641001811,52.555906553889294,118.92732366574286,nll_glc_1
182,new_learn,14,6,0,48.46841741149134,88.37140745377481,185.9531552795258,nll_unix_0
183,new_learn,14,6,1,38.87145264963223,88.37140745377481,185.9531552795258,nll_unix_0
184,new_learn,14,6,0,46.53437697553595,65.1676130259731,139.54556642392237,nll_unix_1
185,new_learn,14,6,1,38.824351332384914,65.1676130259731,139.54556642392237,nll_unix_1
186,new_learn,14,6,0,50.71393612959295,44.753342281689925,98.71702493535604,nll_uniy_0
187,new_learn,14,6,1,23.202763201489272,44.753342281689925,98.71702493535604,nll_uniy_0
188,new_learn,14,6,0,50.45635212450599,112.17704647903676,233.5644333300497,nll_uniy_1
189,new_learn,14,6,1,38.87354209378432,112.17704647903676,233.5644333300497,nll_uniy_1
190,new_learn,14,6,0,-0.08371580757005948,44.626328356914605,103.06816727179348,nll_glc_0
191,new_learn,14,6,1,-46.591906541947886,44.626328356914605,103.06816727179348,nll_glc_0
192,new_learn,14,6,2,23.817582024315527,44.626328356914605,103.06816727179348,nll_glc_0
193,new_learn,14,6,0,0.9999997465178057,65.18713726945032,144.1897850968649,nll_glc_1
194,new_learn,14,6,1,-46.51137761350319,65.18713726945032,144.1897850968649,nll_glc_1
195,new_learn,14,6,2,38.81412358425273,65.18713726945032,144.1897850968649,nll_glc_1
196,new_learn,16,2,0,49.95505834251763,108.58494235969641,226.380225091369,nll_unix_0
197,new_learn,16,2,1,37.9770480953208,108.58494235969641,226.380225091369,nll_unix_0
198,new_learn,16,2,0,51.37228873738234,54.0589336746171,117.32820772121039,nll_unix_1
199,new_learn,16,2,1,28.97078173120694,54.0589336746171,117.32820772121039,nll_unix_1
200,new_learn,16,2,0,46.16502199268411,68.48780527418506,146.1859509203463,nll_uniy_0
201,new_learn,16,2,1,37.97645006979144,68.48780527418506,146.1859509203463,nll_uniy_0
202,new_learn,16,2,0,49.00700102736587,97.32677754413037,203.8638954602369,nll_uniy_1
203,new_learn,16,2,1,37.97595001039926,97.32677754413037,203.8638954602369,nll_uniy_1
