date,condition,subject,trial,target_angle,su,rotation,rt,mt,ep
2025-03-27,mis_rep,1000,206,-60.0,1.0,0.0,2009,536,-2.3
2025-03-27,mis_rep,1000,207,90.0,1.0,0.0,2009,487,0.31
2025-03-27,mis_rep,1000,208,60.0,1.0,0.0,2012,503,-0.86
2025-03-27,mis_rep,1000,209,-90.0,1.0,0.0,2008,477,2.95
2025-03-27,mis_rep,1000,210,-90.0,1.0,0.0,2002,644,3.06
2025-03-27,mis_rep,1000,211,-90.0,1.0,0.0,2003,613,3.01
2025-03-27,mis_rep,1000,212,-60.0,1.0,0.0,2007,541,-2.33
2025-03-27,mis_rep,1000,213,120.0,1.0,0.0,2001,592,0.98
2025-03-27,mis_rep,1000,214,30.0,1.0,0.0,2010,396,-1.27
2025-03-27,mis_rep,1000,215,30.0,1.0,0.0,2005,476,-1.24
2025-03-27,mis_rep,1000,216,0.0,1.0,0.0,2009,413,-1.55
2025-03-27,mis_rep,1000,217,150.0,1.0,0.0,2007,502,1.05
2025-03-27,mis_rep,1000,218,-60.0,1.0,0.0,2009,739,-2.27
2025-03-27,mis_rep,1000,219,0.0,1.0,0.0,2007,533,-1.53
2025-03-27,mis_rep,1000,220,-60.0,1.0,0.0,2010,656,-2.58
2025-03-27,mis_rep,1000,221,-120.0,1.0,0.0,2006,660,2.3
2025-03-27,mis_rep,1000,222,30.0,1.0,0.0,2008,457,-1.21
2025-03-27,mis_rep,1000,223,-60.0,1.0,0.0,2009,492,-2.18
2025-03-27,mis_rep,1000,224,-150.0,1.0,0.0,2010,507,1.99
2025-03-27,mis_rep,1000,225,-150.0,1.0,0.0,2010,506,1.95
2025-03-27,mis_rep,1000,226,60.0,1.0,0.0,2004,505,-0.86
2025-03-27,mis_rep,1000,227,30.0,1.0,0.0,2011,517,-1.22
2025-03-27,mis_rep,1000,228,-30.0,1.0,0.0,2007,471,-1.87
2025-03-27,mis_rep,1000,229,0.0,1.0,0.0,2007,443,-1.54
2025-03-27,mis_rep,1000,230,-90.0,1.0,0.0,2001,642,-3.13
2025-03-27,mis_rep,1000,231,0.0,1.0,0.52,2013,457,-2.14
2025-03-27,mis_rep,1000,232,0.0,1.0,0.52,2001,474,-1.54
2025-03-27,mis_rep,1000,233,0.0,1.0,0.52,2002,556,-2.09
2025-03-27,mis_rep,1000,234,0.0,1.0,0.52,2005,562,-1.31
2025-03-27,mis_rep,1000,235,0.0,1.0,0.52,2008,633,-1.82
2025-03-27,mis_rep,1000,236,0.0,1.0,0.52,2008,548,-1.3
2025-03-27,mis_rep,1000,237,0.0,1.0,0.52,2009,505,-0.88
2025-03-27,mis_rep,1000,238,0.0,1.0,0.52,2011,534,-1.42
2025-03-27,mis_rep,1000,239,0.0,1.0,0.52,2007,354,-1.24
2025-03-27,mis_rep,1000,240,0.0,1.0,0.52,2005,343,-1.02
2025-03-27,mis_rep,1000,241,0.0,1.0,0.52,2005,517,-1.2
2025-03-27,mis_rep,1000,242,0.0,1.0,0.52,2004,423,-0.96
2025-03-27,mis_rep,1000,243,0.0,1.0,0.52,2007,467,-0.95
2025-03-27,mis_rep,1000,244,0.0,1.0,0.52,2009,443,-1.26
2025-03-27,mis_rep,1000,245,0.0,1.0,0.52,2007,457,-0.8
2025-03-27,mis_rep,1000,246,0.0,1.0,0.52,2002,384,-1.34
2025-03-27,mis_rep,1000,247,0.0,1.0,0.52,2004,506,-0.94
2025-03-27,mis_rep,1000,248,0.0,1.0,0.52,2011,464,-1.19
2025-03-27,mis_rep,1000,249,0.0,1.0,0.52,2004,390,-0.65
2025-03-27,mis_rep,1000,250,0.0,1.0,0.52,2002,601,-1.23
2025-03-27,mis_rep,1000,251,0.0,1.0,0.52,2009,447,-1.33
2025-03-27,mis_rep,1000,252,0.0,1.0,0.52,2003,513,-2.01
2025-03-27,mis_rep,1000,253,0.0,1.0,0.52,2002,554,-0.56
2025-03-27,mis_rep,1000,254,0.0,1.0,0.52,2003,550,-1.02
2025-03-27,mis_rep,1000,255,0.0,1.0,0.52,2008,554,-0.84
2025-03-27,mis_rep,1000,256,0.0,1.0,0.52,2005,412,-1.51
2025-03-27,mis_rep,1000,257,0.0,1.0,0.52,2010,560,-0.91
2025-03-27,mis_rep,1000,258,0.0,1.0,0.52,2002,353,-1.22
2025-03-27,mis_rep,1000,259,0.0,1.0,0.52,2008,350,-1.25
2025-03-27,mis_rep,1000,260,0.0,1.0,0.52,2011,423,-1.04
2025-03-27,mis_rep,1000,261,0.0,1.0,0.52,2011,464,-1.15
2025-03-27,mis_rep,1000,262,0.0,1.0,0.52,2005,600,-1.13
2025-03-27,mis_rep,1000,263,0.0,1.0,0.52,2008,554,-1.09
2025-03-27,mis_rep,1000,264,0.0,1.0,0.52,2001,497,-1.26
2025-03-27,mis_rep,1000,265,0.0,1.0,0.52,2008,500,-1.09
