,condition,trial,phase,su_prev,emv,delta_emv,movement_error,movement_error_prev,rotation
481,interleaved,56,2.0,0.0,-1.4541959880575206,-1.3563201950807837,-31.24800133486033,-29.891681139779546,29.79380534680281
482,interleaved,57,2.0,26.78,-2.2624974499499473,-0.8083014618924267,-32.05630279675276,-31.24800133486033,29.79380534680281
483,interleaved,58,2.0,0.0,-1.7449243689079026,0.5175730810420447,-31.538729715710712,-32.05630279675276,29.79380534680281
484,interleaved,59,2.0,0.0,1.9588557703675349,3.7037801392754375,-27.834949576435275,-31.538729715710712,29.79380534680281
485,interleaved,60,2.0,26.78,-1.849754293713758,-3.808610064081293,-31.643559640516568,-27.834949576435275,29.79380534680281
486,interleaved,61,2.0,26.78,-4.764448829904666,-2.9146945361909076,-34.55825417670748,-31.643559640516568,29.79380534680281
487,interleaved,62,2.0,0.0,-0.42843145032142615,4.3360173795832395,-30.222236797124236,-34.55825417670748,29.79380534680281
488,interleaved,63,2.0,26.78,1.7398088267263034,2.1682402770477296,-28.053996520076506,-30.222236797124236,29.79380534680281
489,interleaved,64,2.0,0.0,2.0374945971787923,0.2976857704524889,-27.756310749624017,-28.053996520076506,29.79380534680281
490,interleaved,65,2.0,26.78,0.9531899556458114,-1.084304641532981,-28.840615391156998,-27.756310749624017,29.79380534680281
491,interleaved,66,2.0,26.78,-1.1333223432642257,-2.086512298910037,-30.927127690067035,-28.840615391156998,29.79380534680281
492,interleaved,67,2.0,0.0,0.9138212491682367,2.0471435924324624,-28.879984097634573,-30.927127690067035,29.79380534680281
493,interleaved,68,2.0,0.0,-0.7896297307131306,-1.7034509798813673,-30.58343507751594,-28.879984097634573,29.79380534680281
494,interleaved,69,2.0,0.0,0.8795807172808878,1.6692104479940184,-28.91422462952192,-30.58343507751594,29.79380534680281
495,interleaved,70,2.0,0.0,-1.417425558250514,-2.297006275531402,-31.211230905053323,-28.91422462952192,29.79380534680281
496,interleaved,71,2.0,0.0,0.9320768235302808,2.3495023817807947,-28.86172852327253,-31.211230905053323,29.79380534680281
