condition,subject,trial,state,t,xx,yy
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29636.0,893,595
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29639.0,893,595
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29642.0,894,593
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29645.0,894,593
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29648.0,894,593
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29651.0,896,591
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29655.0,896,591
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29658.0,897,590
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29661.0,897,590
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29663.0,897,590
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29666.0,898,589
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29670.0,898,589
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29672.0,898,589
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29675.0,899,588
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29679.0,899,588
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29683.0,899,587
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29686.0,899,587
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29689.0,899,587
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29692.0,900,587
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29705.0,900,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29708.0,900,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29711.0,900,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29723.0,901,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29726.0,901,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29740.0,901,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29742.0,901,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29756.0,901,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29759.0,901,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29773.0,901,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29776.0,901,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29790.0,901,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29792.0,901,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29806.0,901,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29838.0,901,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29841.0,901,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29844.0,901,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29847.0,900,586
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29856.0,900,587
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29860.0,900,588
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29863.0,900,588
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29872.0,900,590
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29875.0,900,592
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29878.0,900,592
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29890.0,899,594
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29893.0,899,597
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29896.0,899,597
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29905.0,898,600
"{'cat': 'RB', 'resp': 'reach'}",2,4,state_searching_ring,29909.0,898,601
